species_name,itrdb_species_code,wood_type,leaf_habit,tree_ring_structure
Abies Mill. fir,ABSP,gymnosperm,evergreen,conifer
Abies alba Mill.,ABAL,gymnosperm,evergreen,conifer
Abies amabilis Dougl. ex Forbes,ABAM,gymnosperm,evergreen,conifer
Abies balsamea (L.) Mill.,ABBA,gymnosperm,evergreen,conifer
Abies borisii-regis Mattf.,ABBO,gymnosperm,evergreen,conifer
Abies bornmuelleriana Mattf.,ABBN,gymnosperm,evergreen,conifer
Abies bracteata (D.Don) Nutt.,ABBR,gymnosperm,evergreen,conifer
Abies cephalonica Loud.,ABCE,gymnosperm,evergreen,conifer
Abies chensiensis van Tiegh,ABCH,gymnosperm,evergreen,conifer
Abies cilicica (Ant. & Kotschy) Carr.,ABCI,gymnosperm,evergreen,conifer
Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,ABCO,gymnosperm,evergreen,conifer
Abies equi-trojani Aschers. & Sint.,ABEQ,gymnosperm,evergreen,conifer
Abies faxoniana Rehd. & Wils.,ABFX,gymnosperm,evergreen,conifer
Abies firma Sieb. & Zucc.,ABFI,gymnosperm,evergreen,conifer
Abies forestii Rogers,ABFO,gymnosperm,evergreen,conifer
Abies fraseri (Pursh) Poir.,ABFR,gymnosperm,evergreen,conifer
Abies grandis (Dougl. ex D. Don) Lindl.,ABGR,gymnosperm,evergreen,conifer
Abies holophylla Maxim.,ABHO,gymnosperm,evergreen,conifer
Abies kawakamii (Hayata) Ito,ABKA,gymnosperm,evergreen,conifer
Abies koreana Wils.,ABKO,gymnosperm,evergreen,conifer
Abies lasiocarpa (Hook.) Nutt.,ABLA,gymnosperm,evergreen,conifer
Abies magnifica A. Murr.,ABMA,gymnosperm,evergreen,conifer
Abies mariessi Mast.,ABMR,gymnosperm,evergreen,conifer
Abies marocana Trabut,ABMC,gymnosperm,evergreen,conifer
Abies nebrodensis (Lojac.) Mattei,ABNB,gymnosperm,evergreen,conifer
Abies nephrolepis Maxim.,ABNE,gymnosperm,evergreen,conifer
Abies nordmanniana (Stev.) Spach,ABNO,gymnosperm,evergreen,conifer
