"fname_image","fname_cells","fname_rings","fname_settings","org_img_name","site","species","tree","woodpiece","slide","image","tree_code","woodpiece_code","slide_code","image_code","img_filetype","img_size","img_width","img_height","software","sw_version","configuration_file","created_at","spatial_resolution","origin_calibrated_x","origin_calibrated_y","meas_geometry","circ_lower_limit","circ_upper_limit","outmost_year","min_cell_area","max_cell_area","dbl_cwt_threshold","max_cwtrad_s","max_cwtrad_l","relwidth_cwt_window","maxrel_opp_cwt","max_cwttan_s","max_cwttan_l"
"../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_1.jpg","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_1_Output_Cells.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_1_Output_Rings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_1_ROXAS_Settings.txt","POG_PISY_02B_1_1","POG","PISY","02","B","1","1","POG_PISY_02","POG_PISY_02_B","POG_PISY_02_B_1","POG_PISY_02_B_1_1","JPEG",23845088,5001,31230,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-04-09 15:03:00,2.267499924,2500,-150000,"linear",179,181,2018,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_2.jpg","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_2_Output_Cells.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_2_Output_Rings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_2_ROXAS_Settings.txt","POG_PISY_02B_1_2","POG","PISY","02","B","1","2","POG_PISY_02","POG_PISY_02_B","POG_PISY_02_B_1","POG_PISY_02_B_1_2","JPEG",24110909,5000,30824,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.57102",2021-10-11 20:00:00,2.267499924,2500,-150000,"linear",179,181,2010,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_3.jpg","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_3_Output_Cells.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_3_Output_Rings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_3_ROXAS_Settings.txt","POG_PISY_02B_1_3","POG","PISY","02","B","1","3","POG_PISY_02","POG_PISY_02_B","POG_PISY_02_B_1","POG_PISY_02_B_1_3","JPEG",9917677,5001,14886,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-04-09 15:06:00,2.267499924,2500,-150000,"linear",179,181,2003,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_1.jpg","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_1_Output_Cells.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_1_Output_Rings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_1_ROXAS_Settings.txt","POG_PISY_02B_2_1","POG","PISY","02","B","2","1","POG_PISY_02","POG_PISY_02_B","POG_PISY_02_B_2","POG_PISY_02_B_2_1","JPEG",38974224,31446,5001,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-10-11 18:45:00,2.267499924,2500,-150000,"linear",179,181,2001,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_2.jpg","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_2_Output_Cells.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_2_Output_Rings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_2_ROXAS_Settings.txt","POG_PISY_02B_2_2","POG","PISY","02","B","2","2","POG_PISY_02","POG_PISY_02_B","POG_PISY_02_B_2","POG_PISY_02_B_2_2","JPEG",25138482,5001,30076,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-10-11 18:53:00,2.267499924,2500,-150000,"linear",179,181,1990,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_3.jpg","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_3_Output_Cells.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_3_Output_Rings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_3_ROXAS_Settings.txt","POG_PISY_02B_2_3","POG","PISY","02","B","2","3","POG_PISY_02","POG_PISY_02_B","POG_PISY_02_B_2","POG_PISY_02_B_2_3","JPEG",15011751,5000,20846,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-10-11 19:03:00,2.267499924,2500,-150000,"linear",179,181,1982,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_1.jpg","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_1_Output_Cells.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_1_Output_Rings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_1_ROXAS_Settings.txt","POG_PISY_02B_3_1","POG","PISY","02","B","3","1","POG_PISY_02","POG_PISY_02_B","POG_PISY_02_B_3","POG_PISY_02_B_3_1","JPEG",23633487,5001,31130,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-10-11 19:11:00,2.267499924,2500,-150000,"linear",179,181,1980,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_2.jpg","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_2_Output_Cells.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_2_Output_Rings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_2_ROXAS_Settings.txt","POG_PISY_02B_3_2","POG","PISY","02","B","3","2","POG_PISY_02","POG_PISY_02_B","POG_PISY_02_B_3","POG_PISY_02_B_3_2","JPEG",25936352,5000,32000,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-10-11 19:24:00,2.267499924,2500,-150000,"linear",179,181,1972,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_3.jpg","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_3_Output_Cells.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_3_Output_Rings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_3_ROXAS_Settings.txt","POG_PISY_02B_3_3","POG","PISY","02","B","3","3","POG_PISY_02","POG_PISY_02_B","POG_PISY_02_B_3","POG_PISY_02_B_3_3","JPEG",5627163,5001,9390,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-10-11 19:28:00,2.267499924,2500,-150000,"linear",179,181,1966,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_4_1.jpg","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_4_1_Output_Cells.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_4_1_Output_Rings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_4_1_ROXAS_Settings.txt","POG_PISY_02B_4_1","POG","PISY","02","B","4","1","POG_PISY_02","POG_PISY_02_B","POG_PISY_02_B_4","POG_PISY_02_B_4_1","JPEG",23007366,5001,31114,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-10-11 19:36:00,2.267499924,2500,-150000,"linear",179,181,1966,5,2500,0,10,4,0.75,1.5,10,4
