"fname_cells","fname_rings","fname_settings","fname_image","site","species","tree","woodpiece","slide","image","tree_code","woodpiece_code","slide_code","image_code"
"../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_1_Output_Cells.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_1_Output_Rings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_1_ROXAS_Settings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_1.jpg","POG","PISY","02","B","1","1","POG_PISY_02","POG_PISY_02_B","POG_PISY_02_B_1","POG_PISY_02_B_1_1"
"../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_2_Output_Cells.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_2_Output_Rings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_2_ROXAS_Settings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_2.jpg","POG","PISY","02","B","1","2","POG_PISY_02","POG_PISY_02_B","POG_PISY_02_B_1","POG_PISY_02_B_1_2"
"../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_3_Output_Cells.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_3_Output_Rings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_3_ROXAS_Settings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_1_3.jpg","POG","PISY","02","B","1","3","POG_PISY_02","POG_PISY_02_B","POG_PISY_02_B_1","POG_PISY_02_B_1_3"
"../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_1_Output_Cells.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_1_Output_Rings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_1_ROXAS_Settings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_1.jpg","POG","PISY","02","B","2","1","POG_PISY_02","POG_PISY_02_B","POG_PISY_02_B_2","POG_PISY_02_B_2_1"
"../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_2_Output_Cells.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_2_Output_Rings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_2_ROXAS_Settings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_2.jpg","POG","PISY","02","B","2","2","POG_PISY_02","POG_PISY_02_B","POG_PISY_02_B_2","POG_PISY_02_B_2_2"
"../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_3_Output_Cells.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_3_Output_Rings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_3_ROXAS_Settings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_2_3.jpg","POG","PISY","02","B","2","3","POG_PISY_02","POG_PISY_02_B","POG_PISY_02_B_2","POG_PISY_02_B_2_3"
"../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_1_Output_Cells.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_1_Output_Rings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_1_ROXAS_Settings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_1.jpg","POG","PISY","02","B","3","1","POG_PISY_02","POG_PISY_02_B","POG_PISY_02_B_3","POG_PISY_02_B_3_1"
"../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_2_Output_Cells.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_2_Output_Rings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_2_ROXAS_Settings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_2.jpg","POG","PISY","02","B","3","2","POG_PISY_02","POG_PISY_02_B","POG_PISY_02_B_3","POG_PISY_02_B_3_2"
"../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_3_Output_Cells.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_3_Output_Rings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_3_ROXAS_Settings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_3_3.jpg","POG","PISY","02","B","3","3","POG_PISY_02","POG_PISY_02_B","POG_PISY_02_B_3","POG_PISY_02_B_3_3"
"../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_4_1_Output_Cells.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_4_1_Output_Rings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_4_1_ROXAS_Settings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_4_1.jpg","POG","PISY","02","B","4","1","POG_PISY_02","POG_PISY_02_B","POG_PISY_02_B_4","POG_PISY_02_B_4_1"
